2026-04-18 01:21:04 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1","enable_logo":false,"language":"","thread_pool_max_workers":-1,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":3000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"local","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md","C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md","C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory"],"suffix_filters":[".md"],"recursive":false,"rebuild_index_on_start":false}},"metadata":{}}
2026-04-18 01:21:04 | INFO | application.py:167 | start | Thread pool is disabled (thread_pool_max_workers <= 0)
2026-04-18 01:21:04 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at C:\Users\hahay\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\embedding_cache\embedding_cache.jsonl, starting with empty cache
2026-04-18 01:21:04 | INFO | local_file_store.py:121 | start | LocalFileStore 'copaw' ready: 0 chunks, metadata at C:\Users\hahay\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\file_store\copaw_file_metadata.json
2026-04-18 01:21:04 | INFO | base_file_watcher.py:89 | start | Started watching: ['C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md', 'C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md', 'C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory']
2026-04-18 01:21:04 | INFO | application.py:277 | start | ReMe Application started
2026-04-18 01:21:04 | INFO | base_file_watcher.py:183 | _watch_loop | Starting watch on valid paths: ['C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md', 'C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md', 'C:\\Users\\hahay\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory']
2026-04-18 01:22:16 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: {'call_mo2taesh_0', 'call_mo19p0oy_0', 'call_mo0mmmsh', 'call_mo2sz1pb_1', 'call_mo2sqkf3_1', 'call_mo0mmi0r', 'call_mo0mmkal', 'call_mo17k0bs', 'call_mo17jpxs', 'call_mo0mmu44', 'tool-bfa4a3e9c5124bc6b71e36ab54c428e0', 'call_mo0mnk4k', 'call_mo0mmxg7'}
2026-04-18 01:22:16 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ToolResultCompactor.call | ========== cost=0.001772s ==========
2026-04-18 01:22:16 | WARNING | as_msg_handler.py:185 | stat_message | Unsupported block type file, skipped.
2026-04-18 01:22:16 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ContextChecker.call | ========== cost=0.013907s ==========
2026-04-18 01:22:16 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: {'call_mo2taesh_0', 'call_mo19p0oy_0', 'call_mo0mmmsh', 'call_mo2sz1pb_1', 'call_mo2sqkf3_1', 'call_mo0mmi0r', 'call_mo0mmkal', 'call_mo17k0bs', 'call_mo17jpxs', 'call_mo0mmu44', 'tool-bfa4a3e9c5124bc6b71e36ab54c428e0', 'call_mo0mnk4k', 'call_mo0mmxg7'}
2026-04-18 01:22:16 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ToolResultCompactor.call | ========== cost=0.001585s ==========
2026-04-18 01:22:16 | WARNING | as_msg_handler.py:185 | stat_message | Unsupported block type file, skipped.
2026-04-18 01:22:16 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ContextChecker.call | ========== cost=0.011546s ==========
2026-04-18 01:23:41 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: {'call_mo2taesh_0', 'call_mo19p0oy_0', 'call_mo0mmmsh', 'call_mo2sz1pb_1', 'call_mo2sqkf3_1', 'call_mo0mmi0r', 'call_mo0mmkal', 'call_mo17k0bs', 'call_mo17jpxs', 'call_mo0mmu44', 'tool-bfa4a3e9c5124bc6b71e36ab54c428e0', 'call_mo0mnk4k', 'call_mo0mmxg7'}
2026-04-18 01:23:41 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ToolResultCompactor.call | ========== cost=0.002588s ==========
2026-04-18 01:23:41 | WARNING | as_msg_handler.py:185 | stat_message | Unsupported block type file, skipped.
2026-04-18 01:23:41 | INFO | D:\copawmainforrun\reme\core\op\base_op.py:287 | ContextChecker.call | ========== cost=0.008624s ==========
